,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
46,Saudi Arabia,A,DF,Ali Al Bulaihi,1989-11-21,1,0,Saudi Arabia Al-Hilal
47,Saudi Arabia,A,DF,Mansoor Al-Harbi,1987-10-19,37,1,Saudi Arabia Al-Ahli
48,Saudi Arabia,A,DF,Mohammed Al-Breik,1992-09-15,9,1,Saudi Arabia Al-Hilal
49,Saudi Arabia,A,DF,Motaz Hawsawi,1992-02-17,15,0,Saudi Arabia Al-Ahli
50,Saudi Arabia,A,DF,Omar Hawsawi,1985-09-27,40,3,Saudi Arabia Al-Nassr
51,Saudi Arabia,A,DF,Osama Hawsawi (captain),1984-03-31,133,7,Saudi Arabia Al-Hilal
52,Saudi Arabia,A,DF,Yasser Al-Shahrani,1992-05-25,34,0,Saudi Arabia Al-Hilal
53,Saudi Arabia,A,FW,Fahad Al-Muwallad,1994-09-14,42,10,Spain Levante
54,Saudi Arabia,A,FW,Mohammad Al-Sahlawi,1987-01-10,38,28,Saudi Arabia Al-Nassr
55,Saudi Arabia,A,FW,Muhannad Assiri,1986-10-14,17,4,Saudi Arabia Al-Ahli
56,Saudi Arabia,A,GK,Abdullah Al-Mayouf,1987-01-23,9,0,Saudi Arabia Al-Hilal
57,Saudi Arabia,A,GK,Mohammed Al-Owais,1991-10-10,5,0,Saudi Arabia Al-Ahli
58,Saudi Arabia,A,GK,Yasser Al Mosailem,1984-02-27,32,0,Saudi Arabia Al-Ahli
59,Saudi Arabia,A,MF,Abdullah Al-Khaibari,1996-08-16,3,0,Saudi Arabia Al-Shabab
60,Saudi Arabia,A,MF,Abdullah Otayf,1992-08-03,14,1,Saudi Arabia Al-Hilal
61,Saudi Arabia,A,MF,Abdulmalek Al-Khaibri,1986-03-13,35,0,Saudi Arabia Al-Hilal
62,Saudi Arabia,A,MF,Hattan Bahebri,1992-07-16,3,0,Saudi Arabia Al-Shabab
63,Saudi Arabia,A,MF,Housain Al-Mogahwi,1988-01-28,15,1,Saudi Arabia Al-Ahli
64,Saudi Arabia,A,MF,Mohamed Kanno,1994-09-22,5,1,Saudi Arabia Al-Hilal
65,Saudi Arabia,A,MF,Salem Al-Dawsari,1991-08-19,30,4,Spain Villarreal
66,Saudi Arabia,A,MF,Salman Al-Faraj,1989-08-01,40,3,Saudi Arabia Al-Hilal
67,Saudi Arabia,A,MF,Taisir Al-Jassim,1984-07-25,129,18,Saudi Arabia Al-Ahli
68,Saudi Arabia,A,MF,Yahya Al-Shehri,1990-06-26,55,7,Spain Leganés
69,Uruguay,A,DF,Diego Godín (captain),1986-02-16,115,8,Spain Atlético Madrid
70,Uruguay,A,DF,Gastón Silva,1994-03-05,17,0,Argentina Independiente
71,Uruguay,A,DF,Guillermo Varela,1993-03-24,3,0,Uruguay Peñarol
72,Uruguay,A,DF,José Giménez,1995-01-20,41,4,Spain Atlético Madrid
73,Uruguay,A,DF,Martín Cáceres,1987-04-07,75,4,Italy Lazio
74,Uruguay,A,DF,Maxi Pereira,1984-06-08,124,3,Portugal Porto
75,Uruguay,A,DF,Sebastián Coates,1990-10-07,30,1,Portugal Sporting CP
76,Uruguay,A,FW,Cristhian Stuani,1986-12-10,40,5,Spain Girona
77,Uruguay,A,FW,Edinson Cavani,1987-02-14,100,42,France Paris Saint-Germain
78,Uruguay,A,FW,Luis Suárez,1987-01-24,97,50,Spain Barcelona
79,Uruguay,A,FW,Maxi Gómez,1996-08-14,4,0,Spain Celta Vigo
80,Uruguay,A,GK,Fernando Muslera,1986-06-16,96,0,Turkey Galatasaray
81,Uruguay,A,GK,Martín Campaña,1989-05-29,1,0,Argentina Independiente
82,Uruguay,A,GK,Martín Silva,1983-03-23,11,0,Brazil Vasco da Gama
83,Uruguay,A,MF,Carlos Sánchez,1984-12-02,35,1,Mexico Monterrey
84,Uruguay,A,MF,Cristian Rodríguez,1985-09-30,104,11,Uruguay Peñarol
85,Uruguay,A,MF,Diego Laxalt,1993-02-07,5,0,Italy Genoa
86,Uruguay,A,MF,Giorgian De Arrascaeta,1994-05-01,13,1,Brazil Cruzeiro
87,Uruguay,A,MF,Jonathan Urretaviscaya,1990-03-19,4,0,Mexico Monterrey
88,Uruguay,A,MF,Lucas Torreira,1996-02-11,2,0,Italy Sampdoria
89,Uruguay,A,MF,Matías Vecino,1991-08-24,21,1,Italy Internazionale
90,Uruguay,A,MF,Nahitan Nández,1995-12-28,11,0,Argentina Boca Juniors
91,Uruguay,A,MF,Rodrigo Bentancur,1997-06-05,6,0,Italy Juventus
92,Iran,B,DF,Majid Hosseini,1996-06-20,0,0,Iran Esteghlal
93,Iran,B,DF,Milad Mohammadi,1993-09-29,16,0,Russia Akhmat Grozny
94,Iran,B,DF,Mohammad Reza Khanzadeh,1991-05-11,10,1,Iran Padideh
95,Iran,B,DF,Morteza Pouraliganji,1992-04-19,25,2,Qatar Al-Sadd
96,Iran,B,DF,Pejman Montazeri,1983-09-06,45,1,Iran Esteghlal
97,Iran,B,DF,Ramin Rezaeian,1990-03-21,26,2,Belgium Oostende
98,Iran,B,DF,Rouzbeh Cheshmi,1993-07-24,7,0,Iran Esteghlal
99,Iran,B,FW,Alireza Jahanbakhsh,1993-08-11,36,4,Netherlands AZ
100,Iran,B,FW,Karim Ansarifard,1990-04-03,61,16,Greece Olympiacos
101,Iran,B,FW,Mehdi Taremi,1992-07-18,23,11,Qatar Al-Gharafa
102,Iran,B,FW,Reza Ghoochannejhad,1987-09-20,40,17,Netherlands Heerenveen
103,Iran,B,FW,Sardar Azmoun,1995-01-01,31,23,Russia Rubin Kazan
104,Iran,B,GK,Alireza Beiranvand,1992-09-21,20,0,Iran Persepolis
105,Iran,B,GK,Amir Abedzadeh,1993-04-26,0,0,Portugal Marítimo
106,Iran,B,GK,Mohammad Rashid Mazaheri,1989-05-18,3,0,Iran Zob Ahan Esfahan
107,Iran,B,MF,Ashkan Dejagah,1986-06-05,44,8,England Nottingham Forest
108,Iran,B,MF,Ehsan Hajsafi,1990-02-25,91,6,Greece Olympiacos
109,Iran,B,MF,Masoud Shojaei (captain),1984-06-09,72,8,Greece AEK Athens
110,Iran,B,MF,Mehdi Torabi,1994-09-10,14,4,Iran Saipa
111,Iran,B,MF,Omid Ebrahimi,1987-09-16,28,0,Iran Esteghlal
112,Iran,B,MF,Saeid Ezatolahi,1996-10-01,24,1,Russia Amkar Perm
113,Iran,B,MF,Saman Ghoddos,1993-09-06,6,1,Sweden Östersund
114,Iran,B,MF,Vahid Amiri,1988-04-02,33,1,Iran Persepolis
115,Morocco,B,DF,Achraf Hakimi,1998-11-04,7,1,Spain Real Madrid
116,Morocco,B,DF,Hamza Mendyl,1997-10-21,11,0,France Lille
117,Morocco,B,DF,Manuel da Costa,1986-05-06,25,1,Turkey İstanbul Başakşehir
118,Morocco,B,DF,Medhi Benatia (captain),1987-04-17,54,2,Italy Juventus
119,Morocco,B,DF,Nabil Dirar,1986-02-25,34,3,Turkey Fenerbahçe
120,Morocco,B,DF,Romain Saïss,1990-03-26,21,1,England Wolverhampton Wanderers
121,Morocco,B,FW,Ayoub El Kaabi,1993-06-26,8,10,Morocco RS Berkane
122,Morocco,B,FW,Aziz Bouhaddouz,1987-01-29,13,3,Germany FC St. Pauli
123,Morocco,B,FW,Khalid Boutaïb,1987-04-24,15,7,Turkey Yeni Malatyaspor
124,Morocco,B,FW,Youssef En-Nesyri,1997-06-01,15,1,Spain Málaga
125,Morocco,B,GK,Ahmed Reda Tagnaouti,1996-04-05,2,0,Morocco IR Tanger
126,Morocco,B,GK,Munir Mohamedi,1989-05-10,25,0,Spain Numancia
127,Morocco,B,GK,Yassine Bounou,1991-04-05,10,0,Spain Girona
128,Morocco,B,MF,Amine Harit,1997-06-18,3,0,Germany Schalke 04
129,Morocco,B,MF,Fayçal Fajr,1988-08-01,21,2,Spain Getafe
130,Morocco,B,MF,Hakim Ziyech,1993-03-19,15,8,Netherlands Ajax
131,Morocco,B,MF,Karim El Ahmadi,1985-01-27,48,1,Netherlands Feyenoord
132,Morocco,B,MF,Mbark Boussoufa,1984-08-15,56,7,United Arab Emirates Al-Jazira
133,Morocco,B,MF,Mehdi Carcela,1989-07-01,19,1,Belgium Standard Liège
134,Morocco,B,MF,Nordin Amrabat,1987-03-31,41,4,Spain Leganés
135,Morocco,B,MF,Sofyan Amrabat,1996-08-21,4,0,Netherlands Feyenoord
136,Morocco,B,MF,Younès Belhanda,1990-02-25,44,3,Turkey Galatasaray
137,Morocco,B,MF,Youssef Aït Bennasser,1996-07-07,11,0,France Caen
138,Portugal,B,DF,Bruno Alves,1981-11-27,95,11,Scotland Rangers
139,Portugal,B,DF,Cédric,1991-08-31,26,1,England Southampton
140,Portugal,B,DF,José Fonte,1983-12-22,28,0,China Dalian Yifang
141,Portugal,B,DF,Mário Rui,1991-05-27,1,0,Italy Napoli
142,Portugal,B,DF,Pepe,1983-02-26,92,5,Turkey Beşiktaş
143,Portugal,B,DF,Raphaël Guerreiro,1993-12-22,21,2,Germany Borussia Dortmund
144,Portugal,B,DF,Ricardo Pereira,1993-10-06,3,0,Portugal Porto
145,Portugal,B,DF,Rúben Dias,1997-05-14,0,0,Portugal Benfica
146,Portugal,B,FW,André Silva,1995-11-06,20,11,Italy Milan
147,Portugal,B,FW,Cristiano Ronaldo (captain),1985-02-05,149,81,Spain Real Madrid
148,Portugal,B,FW,Gelson Martins,1995-05-11,17,0,Portugal Sporting CP
149,Portugal,B,FW,Gonçalo Guedes,1996-11-29,7,1,Spain Valencia
150,Portugal,B,FW,Ricardo Quaresma,1983-09-26,74,9,Turkey Beşiktaş
151,Portugal,B,GK,Anthony Lopes,1990-10-01,6,0,France Lyon
152,Portugal,B,GK,Beto,1982-06-01,13,0,Turkey Göztepe
153,Portugal,B,GK,Rui Patrício,1988-02-15,68,0,Portugal Sporting CP
154,Portugal,B,MF,Adrien Silva,1989-03-15,21,1,England Leicester City
155,Portugal,B,MF,Bernardo Silva,1994-08-10,22,2,England Manchester City
156,Portugal,B,MF,Bruno Fernandes,1994-09-08,4,0,Portugal Sporting CP
157,Portugal,B,MF,João Mário,1993-01-19,33,1,England West Ham United
158,Portugal,B,MF,João Moutinho,1986-09-08,107,7,France Monaco
159,Portugal,B,MF,Manuel Fernandes,1986-02-05,12,3,Russia Lokomotiv Moscow
160,Portugal,B,MF,William Carvalho,1992-04-07,40,2,Portugal Sporting CP
161,Spain,B,DF,Álvaro Odriozola,1995-12-14,2,0,Spain Real Sociedad
162,Spain,B,DF,César Azpilicueta,1989-08-28,21,0,England Chelsea
163,Spain,B,DF,Dani Carvajal,1992-01-11,15,0,Spain Real Madrid
164,Spain,B,DF,Gerard Piqué,1987-02-02,96,5,Spain Barcelona
165,Spain,B,DF,Jordi Alba,1989-03-21,60,8,Spain Barcelona
166,Spain,B,DF,Nacho,1990-01-18,15,0,Spain Real Madrid
167,Spain,B,DF,Nacho Monreal,1986-02-26,21,1,England Arsenal
168,Spain,B,DF,Sergio Ramos (captain),1986-03-30,151,13,Spain Real Madrid
169,Spain,B,FW,Diego Costa,1988-10-07,18,7,Spain Atlético Madrid
170,Spain,B,FW,Iago Aspas,1987-08-01,8,4,Spain Celta Vigo
171,Spain,B,FW,Lucas Vázquez,1991-07-01,5,0,Spain Real Madrid
172,Spain,B,FW,Marco Asensio,1996-01-21,10,0,Spain Real Madrid
173,Spain,B,FW,Rodrigo,1991-03-06,4,2,Spain Valencia
174,Spain,B,GK,David de Gea,1990-11-07,27,0,England Manchester United
175,Spain,B,GK,Kepa Arrizabalaga,1994-10-03,1,0,Spain Athletic Bilbao
176,Spain,B,GK,Pepe Reina,1982-08-31,36,0,Italy Napoli
177,Spain,B,MF,Andrés Iniesta,1984-05-11,125,14,Spain Barcelona
178,Spain,B,MF,David Silva,1986-01-08,119,35,England Manchester City
179,Spain,B,MF,Isco,1992-04-21,27,10,Spain Real Madrid
180,Spain,B,MF,Koke,1992-01-08,38,0,Spain Atlético Madrid
181,Spain,B,MF,Saúl,1994-11-21,9,0,Spain Atlético Madrid
182,Spain,B,MF,Sergio Busquets,1988-07-16,102,2,Spain Barcelona
183,Spain,B,MF,Thiago,1991-04-11,27,2,Germany Bayern Munich
184,Australia,C,DF,Aziz Behich,1990-10-16,21,2,Turkey Bursaspor
185,Australia,C,DF,James Meredith,1988-04-04,2,0,England Millwall
186,Australia,C,DF,Josh Risdon,1992-07-27,6,0,Australia Western Sydney Wanderers
187,Australia,C,DF,Matthew Jurman,1989-12-08,4,0,South Korea Suwon Samsung Bluewings
188,Australia,C,DF,Milos Degenek,1994-04-28,17,0,Japan Yokohama F. Marinos
189,Australia,C,DF,Trent Sainsbury,1992-01-05,33,3,Switzerland Grasshoppers
190,Australia,C,FW,Andrew Nabbout,1992-12-17,2,0,Japan Urawa Red Diamonds
191,Australia,C,FW,Jamie Maclaren,1993-07-29,6,0,Scotland Hibernian
192,Australia,C,FW,Mathew Leckie,1991-02-04,51,6,Germany Hertha BSC
193,Australia,C,FW,Robbie Kruse,1988-10-05,62,5,Germany VfL Bochum
194,Australia,C,FW,Tim Cahill,1979-12-06,105,50,England Millwall
195,Australia,C,FW,Tomi Juric,1991-07-22,34,8,Switzerland Luzern
196,Australia,C,GK,Brad Jones,1982-03-19,5,0,Netherlands Feyenoord
197,Australia,C,GK,Danny Vukovic,1985-03-27,1,0,Belgium Genk
198,Australia,C,GK,Mathew Ryan,1992-04-08,42,0,England Brighton & Hove Albion
199,Australia,C,MF,Aaron Mooy,1990-09-15,32,5,England Huddersfield Town
200,Australia,C,MF,Daniel Arzani,1999-01-04,0,0,Australia Melbourne City
201,Australia,C,MF,Dimitri Petratos,1992-11-10,1,0,Australia Newcastle Jets
202,Australia,C,MF,Jackson Irvine,1993-03-07,17,2,England Hull City
203,Australia,C,MF,Mark Milligan,1985-08-04,69,6,Saudi Arabia Al-Ahli
204,Australia,C,MF,Massimo Luongo,1992-09-25,34,5,England Queens Park Rangers
205,Australia,C,MF,Mile Jedinak (captain),1984-08-03,75,18,England Aston Villa
206,Australia,C,MF,Tom Rogic,1992-12-16,35,7,Scotland Celtic
207,Denmark,C,DF,Andreas Christensen,1996-04-10,14,1,England Chelsea
208,Denmark,C,DF,Henrik Dalsgaard,1989-07-27,9,0,England Brentford
209,Denmark,C,DF,Jannik Vestergaard,1992-08-03,15,1,Germany Borussia Mönchengladbach
210,Denmark,C,DF,Jens Stryger Larsen,1991-02-21,11,1,Italy Udinese
211,Denmark,C,DF,Jonas Knudsen,1992-09-16,3,0,England Ipswich Town
212,Denmark,C,DF,Mathias Jørgensen,1990-04-23,12,0,England Huddersfield Town
213,Denmark,C,DF,Simon Kjær (captain),1989-03-26,76,3,Spain Sevilla
214,Denmark,C,FW,Andreas Cornelius,1993-03-16,18,4,Italy Atalanta
215,Denmark,C,FW,Kasper Dolberg,1997-10-06,4,1,Netherlands Ajax
216,Denmark,C,FW,Martin Braithwaite,1991-06-05,18,1,France Bordeaux
217,Denmark,C,FW,Nicolai Jørgensen,1991-01-15,29,8,Netherlands Feyenoord
218,Denmark,C,FW,Viktor Fischer,1994-06-09,17,3,Denmark Copenhagen
219,Denmark,C,FW,Yussuf Poulsen,1994-06-15,26,3,Germany RB Leipzig
220,Denmark,C,GK,Frederik Rønnow,1992-08-04,6,0,Denmark Brøndby
221,Denmark,C,GK,Jonas Lössl,1989-02-01,1,0,England Huddersfield Town
222,Denmark,C,GK,Kasper Schmeichel,1986-11-05,33,0,England Leicester City
223,Denmark,C,MF,Christian Eriksen,1992-02-14,77,21,England Tottenham Hotspur
224,Denmark,C,MF,Lasse Schöne,1986-05-27,34,3,Netherlands Ajax
225,Denmark,C,MF,Lukas Lerager,1993-07-12,3,0,France Bordeaux
226,Denmark,C,MF,Michael Krohn-Dehli,1983-06-06,57,6,Spain Deportivo La Coruña
227,Denmark,C,MF,Pione Sisto,1995-02-04,12,1,Spain Celta Vigo
228,Denmark,C,MF,Thomas Delaney,1991-09-03,25,4,Germany Werder Bremen
229,Denmark,C,MF,William Kvist,1985-02-24,78,2,Denmark Copenhagen
230,France,C,DF,Adil Rami,1985-12-27,33,1,France Marseille
231,France,C,DF,Benjamin Mendy,1994-07-17,4,0,England Manchester City
232,France,C,DF,Benjamin Pavard,1996-03-28,3,0,Germany VfB Stuttgart
233,France,C,DF,Djibril Sidibé,1992-07-29,15,1,France Monaco
234,France,C,DF,Lucas Hernández,1996-02-14,2,0,Spain Atlético Madrid
235,France,C,DF,Presnel Kimpembe,1995-08-13,1,0,France Paris Saint-Germain
236,France,C,DF,Raphaël Varane,1993-04-25,41,2,Spain Real Madrid
237,France,C,DF,Samuel Umtiti,1993-11-14,16,1,Spain Barcelona
238,France,C,FW,Antoine Griezmann,1991-03-21,51,19,Spain Atlético Madrid
239,France,C,FW,Florian Thauvin,1993-01-26,3,0,France Marseille
240,France,C,FW,Kylian Mbappé,1998-12-20,12,3,France Paris Saint-Germain
241,France,C,FW,Nabil Fekir,1993-07-18,10,1,France Lyon
242,France,C,FW,Olivier Giroud,1986-09-30,71,30,England Chelsea
243,France,C,FW,Ousmane Dembélé,1997-05-15,9,1,Spain Barcelona
244,France,C,GK,Alphonse Areola,1993-02-27,0,0,France Paris Saint-Germain
245,France,C,GK,Hugo Lloris (captain),1986-12-26,96,0,England Tottenham Hotspur
246,France,C,GK,Steve Mandanda,1985-03-28,26,0,France Marseille
247,France,C,MF,Blaise Matuidi,1987-04-09,64,9,Italy Juventus
248,France,C,MF,Corentin Tolisso,1994-08-03,6,0,Germany Bayern Munich
249,France,C,MF,N'Golo Kanté,1991-03-29,22,1,England Chelsea
250,France,C,MF,Paul Pogba,1993-03-15,51,9,England Manchester United
251,France,C,MF,Steven Nzonzi,1988-12-15,2,0,Spain Sevilla
252,France,C,MF,Thomas Lemar,1995-11-12,10,3,France Monaco
253,Peru,C,DF,Alberto Rodríguez,1984-05-31,58,0,Colombia Atlético Junior
254,Peru,C,DF,Aldo Corzo,1989-05-20,23,0,Peru Universitario
255,Peru,C,DF,Anderson Santamaría,1992-01-10,2,0,Mexico Puebla
256,Peru,C,DF,Christian Ramos,1988-11-04,63,3,Mexico Veracruz
257,Peru,C,DF,Luis Advíncula,1990-03-02,62,0,Mexico Lobos BUAP
258,Peru,C,DF,Miguel Araujo,1994-10-24,2,0,Peru Alianza Lima
259,Peru,C,DF,Miguel Trauco,1992-08-25,24,0,Brazil Flamengo
260,Peru,C,DF,Nilson Loyola,1994-10-26,3,0,Peru FBC Melgar
261,Peru,C,FW,André Carrillo,1991-06-14,42,4,England Watford
262,Peru,C,FW,Andy Polo,1994-09-29,15,1,United States Portland Timbers
263,Peru,C,FW,Jefferson Farfán,1984-10-26,81,24,Russia Lokomotiv Moscow
264,Peru,C,FW,Paolo Guerrero (captain),1984-01-01,87,34,Brazil Flamengo
265,Peru,C,FW,Paolo Hurtado,1990-07-27,29,3,Portugal Vitória de Guimarães
266,Peru,C,FW,Raúl Ruidíaz,1990-07-25,29,4,Mexico Morelia
267,Peru,C,GK,Carlos Cáceda,1991-09-27,4,0,Peru Deportivo Municipal
268,Peru,C,GK,José Carvallo,1986-03-01,5,0,Peru UTC
269,Peru,C,GK,Pedro Gallese,1990-04-23,36,0,Mexico Veracruz
270,Peru,C,MF,Christian Cueva,1991-11-23,41,7,Brazil São Paulo
271,Peru,C,MF,Edison Flores,1994-05-14,26,9,Denmark AaB
272,Peru,C,MF,Pedro Aquino,1995-04-13,10,0,Mexico Lobos BUAP
273,Peru,C,MF,Renato Tapia,1995-07-28,20,1,Netherlands Feyenoord
274,Peru,C,MF,Wilder Cartagena,1994-09-23,2,0,Mexico Veracruz
275,Peru,C,MF,Yoshimar Yotún,1990-04-07,70,2,United States Orlando City
276,Argentina,D,DF,Cristian Ansaldi,1986-09-20,5,0,Italy Torino
277,Argentina,D,DF,Eduardo Salvio,1990-07-13,8,0,Portugal Benfica
278,Argentina,D,DF,Federico Fazio,1987-01-30,8,1,Italy Roma
279,Argentina,D,DF,Gabriel Mercado,1987-03-18,20,3,Spain Sevilla
280,Argentina,D,DF,Javier Mascherano,1984-06-08,142,3,China Hebei China Fortune
281,Argentina,D,DF,Marcos Acuña,1991-10-28,9,0,Portugal Sporting CP
282,Argentina,D,DF,Marcos Rojo,1990-11-28,55,2,England Manchester United
283,Argentina,D,DF,Nicolás Otamendi,1988-07-05,53,4,England Manchester City
284,Argentina,D,DF,Nicolás Tagliafico,1992-08-31,3,0,Netherlands Ajax
285,Argentina,D,FW,Gonzalo Higuaín,1987-12-10,70,31,Italy Juventus
286,Argentina,D,FW,Lionel Messi (captain),1987-06-24,123,61,Spain Barcelona
287,Argentina,D,FW,Paulo Dybala,1993-11-15,12,0,Italy Juventus
288,Argentina,D,FW,Sergio Agüero,1988-06-02,84,36,England Manchester City
289,Argentina,D,GK,Franco Armani,1986-10-16,0,0,Argentina River Plate
290,Argentina,D,GK,Nahuel Guzmán,1986-02-10,6,0,Mexico UANL
291,Argentina,D,GK,Willy Caballero,1981-09-28,2,0,England Chelsea
292,Argentina,D,MF,Ángel Di María,1988-05-21,93,19,France Paris Saint-Germain
293,Argentina,D,MF,Cristian Pavón,1996-01-21,4,0,Argentina Boca Juniors
294,Argentina,D,MF,Éver Banega,1988-06-29,61,6,Spain Sevilla
295,Argentina,D,MF,Giovani Lo Celso,1996-04-09,4,0,France Paris Saint-Germain
296,Argentina,D,MF,Lucas Biglia,1986-01-30,36,1,Italy Milan
297,Argentina,D,MF,Manuel Lanzini,1993-02-13,3,1,England West Ham United
298,Argentina,D,MF,Maximiliano Meza,1992-01-15,1,0,Argentina Independiente
299,Croatia,D,DF,Dejan Lovren,1989-07-05,37,2,England Liverpool
300,Croatia,D,DF,Domagoj Vida,1989-04-29,57,2,Turkey Beşiktaş
301,Croatia,D,DF,Duje Ćaleta-Car,1996-09-17,0,0,Austria Red Bull Salzburg
302,Croatia,D,DF,Ivan Strinić,1987-07-17,42,0,Italy Sampdoria
303,Croatia,D,DF,Josip Pivarić,1989-01-30,19,0,Ukraine Dynamo Kyiv
304,Croatia,D,DF,Šime Vrsaljko,1992-01-10,34,0,Spain Atlético Madrid
305,Croatia,D,DF,Tin Jedvaj,1995-11-28,10,0,Germany Bayer Leverkusen
306,Croatia,D,DF,Vedran Ćorluka,1986-02-05,97,4,Russia Lokomotiv Moscow
307,Croatia,D,FW,Andrej Kramarić,1991-06-19,29,8,Germany 1899 Hoffenheim
308,Croatia,D,FW,Ante Rebić,1993-09-21,14,1,Germany Eintracht Frankfurt
309,Croatia,D,FW,Ivan Perišić,1989-02-02,64,17,Italy Internazionale
310,Croatia,D,FW,Mario Mandžukić,1986-05-21,82,30,Italy Juventus
311,Croatia,D,FW,Marko Pjaca,1995-05-06,15,1,Germany Schalke 04
312,Croatia,D,FW,Nikola Kalinić,1988-01-05,41,15,Italy Milan
313,Croatia,D,GK,Danijel Subašić,1984-10-27,36,0,France Monaco
314,Croatia,D,GK,Dominik Livaković,1995-01-09,1,0,Croatia Dinamo Zagreb
315,Croatia,D,GK,Lovre Kalinić,1990-04-03,10,0,Belgium Gent
316,Croatia,D,MF,Filip Bradarić,1992-01-11,3,0,Croatia Rijeka
317,Croatia,D,MF,Ivan Rakitić,1988-03-10,90,14,Spain Barcelona
318,Croatia,D,MF,Luka Modrić (captain),1985-09-09,104,12,Spain Real Madrid
319,Croatia,D,MF,Marcelo Brozović,1992-11-16,33,6,Italy Internazionale
320,Croatia,D,MF,Mateo Kovačić,1994-05-06,39,1,Spain Real Madrid
321,Croatia,D,MF,Milan Badelj,1989-02-25,36,1,Italy Fiorentina
